EmployeeID,Age,Gender,EducationLevel,YearsOfExperience,JobRole,SkillsScore,Certifications,CompanyType,WorkHoursPerWeek,Salary
1085,28,Male,Master,22,Designer,8,7,Startup,55,1570456
1086,55,Female,Master,7,Designer,9,7,Startup,55,863085
1087,55,Male,Bachelor,14,Designer,6,7,Startup,55,1101964
1088,53,Female,Bachelor,2,HR,1,7,Medium Scale,44,490925
1089,25,Female,Bachelor,29,Data Analyst,9,0,Startup,35,1698615
1090,59,Female,Master,14,Data Analyst,3,1,MNC,40,1151083
1091,48,Female,Master,12,Developer,6,3,MNC,45,1144319
1092,27,Female,PhD,8,Data Analyst,10,8,Startup,36,983605
1093,29,Female,Master,1,Data Analyst,10,2,Medium Scale,41,615608
1094,28,Male,Bachelor,23,HR,9,5,MNC,54,1562192
1095,32,Female,Bachelor,7,Designer,3,6,MNC,55,762331
1096,54,Male,Master,28,Designer,5,7,Medium Scale,55,1817330
1097,53,Male,Bachelor,29,HR,5,6,MNC,55,1822949
1098,43,Female,PhD,19,Data Analyst,10,2,Medium Scale,52,1519382
1099,44,Male,Bachelor,16,HR,7,5,MNC,55,1241586
1100,57,Female,Bachelor,12,Developer,4,4,Medium Scale,53,982243
1101,55,Male,Master,0,Designer,4,9,MNC,38,618618
1102,42,Female,Master,1,Manager,7,3,Startup,47,591311
1103,47,Male,Bachelor,29,Developer,9,0,MNC,52,1780549
1104,55,Female,Master,14,Developer,4,6,MNC,54,1218494
1105,21,Female,Bachelor,11,HR,4,7,Startup,59,902958
1106,55,Female,Master,13,Data Analyst,6,1,Startup,58,1062538
1107,57,Female,Master,24,Designer,6,6,Startup,47,1565833
1108,34,Male,Master,28,Manager,7,5,Startup,53,1767386
1109,23,Female,Master,1,Developer,1,4,Medium Scale,51,550778
1110,21,Male,Bachelor,17,Manager,3,3,Medium Scale,35,1159832
1111,25,Male,Bachelor,21,Data Analyst,9,1,MNC,40,1498857
1112,46,Male,PhD,6,Data Analyst,6,9,MNC,53,962930
1113,34,Female,Bachelor,28,Manager,6,5,MNC,54,1764407
1114,59,Male,PhD,22,Designer,5,4,Medium Scale,35,1546073
1115,47,Male,Bachelor,30,Data Analyst,3,1,MNC,42,1771667
1116,29,Male,Master,28,Manager,5,9,MNC,51,1848035
1117,35,Female,Master,24,Developer,1,6,Medium Scale,55,1536732
1118,35,Female,PhD,5,Manager,3,5,MNC,56,866097
1119,46,Male,Bachelor,13,Manager,4,10,Medium Scale,49,1026487
1120,33,Female,Master,7,HR,5,8,Medium Scale,52,886702
1121,52,Female,Bachelor,26,Data Analyst,10,10,Startup,41,1679075
1122,59,Male,Bachelor,21,Designer,9,9,Startup,50,1476031
1123,52,Male,Master,1,Designer,4,4,Medium Scale,41,529781
1124,24,Female,Master,16,HR,3,8,Medium Scale,51,1249865
1125,50,Male,PhD,4,Designer,10,8,Startup,38,802469
1126,57,Female,Bachelor,13,Manager,1,0,MNC,46,1002167
1127,43,Female,Bachelor,24,HR,10,4,MNC,47,1611928
1128,59,Female,Bachelor,23,Developer,6,8,MNC,38,1607521
1129,35,Female,Bachelor,29,Data Analyst,7,6,Medium Scale,55,1786599
1130,49,Female,Bachelor,28,Data Analyst,10,5,Startup,35,1716775
1131,56,Female,Master,19,Data Analyst,8,5,MNC,35,1497504
1132,33,Male,Bachelor,20,Manager,1,10,Startup,41,1347918
1133,52,Male,PhD,28,Developer,4,6,Startup,43,1856687
1134,27,Female,PhD,20,HR,5,0,Medium Scale,35,1446804
1135,42,Female,Master,21,HR,2,3,MNC,50,1465259
1136,48,Female,PhD,2,Data Analyst,1,0,Startup,52,575560
1137,22,Male,Master,4,Developer,8,5,Medium Scale,56,733256
1138,26,Female,Bachelor,15,Developer,6,3,Medium Scale,49,1087125
1139,48,Male,Bachelor,17,Developer,5,0,Medium Scale,40,1139370
1140,48,Female,Bachelor,25,Designer,9,8,MNC,36,1661838
1141,40,Female,Bachelor,16,Designer,2,3,MNC,43,1185429
1142,50,Male,Master,10,Data Analyst,10,5,Medium Scale,38,1003134
1143,31,Male,Bachelor,16,Developer,8,6,MNC,47,1267199
1144,48,Female,Master,15,Developer,10,7,MNC,57,1368092
1145,45,Female,Master,25,HR,9,10,Startup,56,1706822
1146,59,Female,Bachelor,22,HR,1,8,Medium Scale,45,1396113
1147,53,Male,PhD,1,Data Analyst,7,8,Medium Scale,47,716594
1148,21,Male,Bachelor,3,Developer,8,7,MNC,45,649669
1149,47,Male,Bachelor,20,Data Analyst,3,9,Medium Scale,53,1367427
1150,33,Male,Master,6,HR,4,10,Medium Scale,42,800938
1151,23,Male,Bachelor,1,HR,3,2,Medium Scale,41,412717
1152,59,Male,Master,29,Designer,7,1,MNC,59,1914818
1153,26,Female,Bachelor,5,Data Analyst,9,4,MNC,50,772659
1154,28,Female,Bachelor,16,Data Analyst,3,0,MNC,37,1180575
1155,47,Male,PhD,6,Developer,6,2,Startup,51,867737
1156,29,Female,Bachelor,24,Developer,8,0,Medium Scale,52,1502289
1157,57,Female,Bachelor,4,Designer,6,2,Startup,49,572406
1158,53,Male,Bachelor,4,Manager,2,3,MNC,51,600873
1159,44,Female,PhD,19,Manager,7,6,Startup,45,1440461
1160,35,Male,Bachelor,15,Manager,2,4,Medium Scale,39,1061710
1161,52,Male,Bachelor,18,Data Analyst,2,4,Medium Scale,50,1189448
1162,52,Female,Bachelor,8,Data Analyst,2,0,MNC,49,759198
1163,44,Male,Bachelor,4,HR,1,7,MNC,44,681158
1164,32,Male,Master,7,Data Analyst,1,3,Startup,48,778938
1165,59,Male,Master,8,Data Analyst,7,9,MNC,36,1006799
1166,22,Male,Bachelor,4,Data Analyst,5,4,Startup,50,586961
1167,23,Male,Master,9,Designer,3,1,Medium Scale,53,882007
1168,57,Male,Bachelor,24,Data Analyst,1,0,Medium Scale,42,1467470
1169,37,Male,PhD,1,Developer,10,8,Medium Scale,49,741256
1170,22,Male,PhD,8,Developer,6,1,Medium Scale,44,920739
1171,22,Female,Bachelor,10,HR,1,5,Medium Scale,39,870186
1172,48,Female,Master,3,Designer,9,0,Startup,54,629547
1173,43,Female,Master,21,Developer,2,0,Medium Scale,50,1410431
1174,57,Male,Bachelor,21,Designer,1,8,Startup,55,1326476
1175,52,Male,Bachelor,21,Designer,7,3,Medium Scale,60,1441411
1176,53,Female,Bachelor,1,HR,6,8,Startup,56,471686
1177,21,Female,Master,22,Designer,6,10,Startup,46,1519536
1178,39,Female,PhD,28,Data Analyst,5,4,Startup,57,1816062
1179,22,Male,Master,5,Designer,4,6,MNC,47,809216
1180,46,Female,Master,26,HR,4,0,Startup,43,1603041
1181,52,Female,Master,13,HR,3,5,Startup,51,1052653
1182,26,Male,Master,0,HR,10,7,Medium Scale,54,587673
1183,52,Female,Master,17,Developer,8,0,Startup,46,1231367
1184,24,Male,Bachelor,6,Data Analyst,7,8,Startup,59,717629
1185,31,Male,Bachelor,0,Developer,9,2,MNC,39,556190
1186,37,Male,Master,30,Manager,1,0,Medium Scale,58,1777063
1187,58,Female,Bachelor,0,Data Analyst,7,0,MNC,46,463322
1188,44,Female,Master,0,Designer,10,10,MNC,35,652693
1189,25,Male,Bachelor,23,HR,4,5,MNC,54,1492241
1190,54,Female,Bachelor,3,Manager,7,10,Startup,50,608778
1191,26,Female,Master,3,Data Analyst,1,5,MNC,46,639651
1192,42,Female,Bachelor,28,Developer,5,0,MNC,43,1705966
1193,31,Female,Bachelor,17,HR,3,2,Medium Scale,47,1136275
1194,36,Male,Bachelor,26,Developer,5,6,Medium Scale,51,1633606
1195,53,Female,Master,10,Data Analyst,4,9,Medium Scale,51,961658
1196,29,Male,Bachelor,26,Data Analyst,2,2,Medium Scale,38,1592468
1197,26,Male,PhD,0,Manager,4,2,MNC,48,588248
1198,36,Female,Bachelor,27,Designer,3,2,Medium Scale,53,1601437
1199,49,Male,PhD,9,Developer,1,6,Startup,41,934727
1200,23,Female,PhD,8,Manager,10,3,MNC,37,1032201
1201,40,Female,Bachelor,22,HR,8,3,Medium Scale,35,1461150
1202,56,Male,Bachelor,3,Designer,5,2,MNC,46,585999
1203,39,Male,Bachelor,27,Manager,4,9,Medium Scale,49,1651376
1204,46,Male,Master,5,Developer,10,10,MNC,45,916673
1205,23,Male,Bachelor,29,Data Analyst,5,8,Medium Scale,44,1742476
1206,39,Female,Bachelor,15,HR,4,1,Startup,36,1080902
1207,40,Female,Bachelor,1,Developer,3,3,Medium Scale,60,492994
1208,52,Female,Bachelor,22,Designer,5,7,MNC,38,1528878
1209,27,Male,Bachelor,17,Designer,4,5,MNC,51,1233615
1210,53,Male,Master,9,Data Analyst,1,6,Startup,51,836164
1211,59,Male,PhD,23,Data Analyst,3,6,MNC,42,1668316
1212,38,Female,Bachelor,23,HR,10,1,Startup,57,1511560
1213,21,Male,Bachelor,16,HR,10,3,MNC,48,1253559
1214,31,Female,Bachelor,12,Data Analyst,8,9,MNC,58,1130968
1215,48,Male,Master,23,Data Analyst,7,9,Startup,38,1617800
1216,45,Female,PhD,17,Designer,2,5,MNC,40,1348047
1217,43,Female,Master,21,Data Analyst,1,2,MNC,53,1457985
1218,51,Male,PhD,12,Manager,3,8,Startup,58,1142123
1219,50,Male,Bachelor,16,Developer,5,3,Medium Scale,38,1120577
1220,55,Female,Master,4,Data Analyst,10,9,Startup,37,735870
1221,27,Female,Master,10,HR,1,1,MNC,54,944094
1222,36,Male,Bachelor,6,Manager,3,5,Medium Scale,40,711329
1223,46,Male,PhD,28,HR,3,0,Medium Scale,57,1765217
1224,22,Female,Bachelor,9,Manager,5,5,Medium Scale,41,881141
1225,21,Male,Master,16,Data Analyst,3,9,Startup,48,1210343
1226,32,Female,Bachelor,14,Developer,9,0,Medium Scale,46,1098822
1227,25,Female,Bachelor,17,HR,1,7,Medium Scale,50,1156003
1228,57,Male,Master,22,Manager,4,4,Medium Scale,54,1519538
1229,52,Male,Bachelor,21,Designer,10,5,MNC,42,1497089
1230,29,Male,Bachelor,18,Data Analyst,10,1,Startup,57,1271595
1231,55,Male,Bachelor,29,Developer,4,1,Startup,36,1671029
1232,39,Male,Master,25,Data Analyst,1,8,MNC,47,1720023
1233,36,Female,Bachelor,1,Designer,2,2,Medium Scale,42,446324
1234,23,Female,Bachelor,25,Developer,1,5,MNC,59,1588962
1235,40,Male,PhD,3,Designer,6,9,MNC,55,828042
1236,44,Male,Master,2,Data Analyst,3,4,Medium Scale,54,624380
1237,53,Male,Bachelor,6,Manager,7,3,Medium Scale,50,733957
1238,44,Female,Master,23,Data Analyst,5,9,Startup,38,1570739
1239,31,Male,Master,17,Data Analyst,9,1,Medium Scale,50,1309733
1240,28,Male,Master,9,Data Analyst,7,7,MNC,54,1030389
1241,56,Female,Bachelor,6,HR,4,9,MNC,40,779715
1242,58,Female,Bachelor,7,Designer,5,6,Medium Scale,38,772116
1243,40,Male,Bachelor,5,Designer,5,10,Startup,50,701922
1244,55,Male,Bachelor,21,Designer,5,1,MNC,57,1429251
1245,45,Male,Bachelor,25,HR,10,5,Medium Scale,57,1656794
1246,55,Female,Bachelor,0,Manager,9,7,Startup,55,461580
1247,45,Male,Master,3,Data Analyst,10,6,Startup,47,663823
1248,49,Male,Bachelor,13,Manager,3,0,MNC,39,988084
1249,38,Male,Bachelor,16,HR,6,4,MNC,49,1261991
1250,38,Female,Master,19,Designer,8,1,Startup,60,1329607
1251,22,Female,Bachelor,17,Data Analyst,9,5,Startup,42,1269355
1252,55,Male,Bachelor,10,Developer,7,6,Startup,41,873969
1253,36,Male,Master,28,Developer,3,6,Medium Scale,48,1797059
1254,56,Female,Bachelor,20,Manager,1,2,MNC,41,1305333
1255,53,Female,Master,25,Designer,4,6,Startup,56,1658236
1256,24,Female,Master,13,Developer,6,4,MNC,41,1165668
1257,53,Female,Bachelor,8,Manager,3,7,MNC,57,823945
1258,34,Female,Master,26,HR,1,7,MNC,60,1724526
1259,41,Female,Bachelor,14,Manager,6,6,Startup,52,1077717
1260,40,Female,Bachelor,11,Manager,1,5,Medium Scale,44,916426
1261,28,Female,Bachelor,9,Manager,9,1,Startup,52,879349
1262,27,Female,Bachelor,18,Data Analyst,1,5,MNC,48,1226601
1263,23,Male,PhD,23,Manager,6,10,Startup,44,1629930
1264,37,Male,Bachelor,18,Manager,1,8,Startup,41,1170333
1265,53,Male,Bachelor,5,Data Analyst,7,1,MNC,60,747935
1266,32,Female,Bachelor,19,Data Analyst,3,0,MNC,41,1268839
1267,42,Male,Bachelor,23,HR,6,10,Startup,41,1518337
1268,42,Female,Bachelor,26,Designer,7,4,Startup,39,1606204
1269,50,Female,Bachelor,5,Developer,1,10,Startup,35,617195
1270,58,Male,Master,7,Developer,1,5,Startup,48,754848
1271,58,Female,Bachelor,0,Manager,5,2,Medium Scale,52,426854
1272,28,Male,Bachelor,21,HR,6,7,Startup,47,1403998
1273,47,Male,Bachelor,16,Manager,9,6,Medium Scale,59,1253390
1274,47,Male,Bachelor,16,Developer,1,1,MNC,42,1131558
1275,54,Female,Master,23,Data Analyst,4,6,Medium Scale,42,1523985
1276,41,Male,Bachelor,14,Designer,10,0,MNC,44,1171794
1277,50,Female,Bachelor,6,HR,8,8,Medium Scale,51,783585
1278,53,Male,Bachelor,18,Data Analyst,10,6,MNC,40,1378264
1279,48,Male,Master,21,Designer,9,5,Startup,49,1486326
1280,53,Male,Master,30,HR,3,1,Medium Scale,49,1843261
1281,25,Female,Bachelor,24,HR,2,2,Medium Scale,59,1464022
1282,39,Female,Master,22,Developer,4,0,MNC,50,1493667
1283,24,Female,Master,27,Data Analyst,2,9,MNC,42,1769065
1284,55,Male,Master,2,HR,1,4,Medium Scale,53,534006
1285,37,Male,Master,29,HR,3,8,MNC,54,1916819
1286,48,Female,Bachelor,29,Designer,7,5,Startup,49,1754076
1287,50,Female,Bachelor,28,Developer,1,4,Medium Scale,37,1682861
1288,49,Female,Bachelor,21,Manager,2,2,Startup,40,1315393
1289,26,Female,Bachelor,10,Developer,1,4,Medium Scale,59,807143
1290,55,Female,PhD,19,Manager,8,7,Startup,42,1494505
1291,57,Female,Bachelor,29,Data Analyst,5,1,Medium Scale,50,1695417
1292,44,Male,Bachelor,28,Data Analyst,8,4,MNC,49,1779300
1293,49,Female,Master,18,HR,3,5,Medium Scale,47,1304896
1294,51,Male,Bachelor,8,Data Analyst,7,9,Startup,60,846629
1295,55,Male,Bachelor,9,HR,8,7,Medium Scale,54,894606
1296,53,Female,Bachelor,1,Developer,6,7,Startup,49,492916
1297,41,Female,Bachelor,0,Data Analyst,7,4,Startup,52,457330
1298,52,Male,Master,30,Developer,2,8,Startup,47,1805551
1299,43,Female,Bachelor,29,Developer,8,3,MNC,58,1841422
1300,53,Female,Bachelor,15,Data Analyst,5,8,Medium Scale,42,1176782
1301,23,Male,Bachelor,17,Developer,7,10,Startup,48,1274391
1302,38,Male,Bachelor,22,Data Analyst,1,6,MNC,45,1473411
1303,45,Male,Master,25,Data Analyst,5,5,Startup,40,1658185
1304,51,Female,Bachelor,16,Data Analyst,1,3,Medium Scale,58,1066888
1305,23,Male,Bachelor,5,Manager,8,1,MNC,59,746135
1306,44,Female,PhD,13,Developer,4,7,Startup,35,1148424
1307,52,Male,Master,22,Designer,4,5,Startup,59,1479559
1308,42,Male,Bachelor,24,Data Analyst,2,2,Startup,36,1411075
1309,43,Male,Bachelor,14,Developer,5,6,Medium Scale,47,1070699
1310,22,Female,Master,13,HR,1,9,MNC,35,1156972
1311,47,Female,Master,23,Data Analyst,9,6,MNC,58,1640950
1312,22,Male,Bachelor,21,Data Analyst,5,5,MNC,58,1410413
1313,46,Male,PhD,2,Designer,6,1,Startup,38,639305
1314,37,Male,Bachelor,23,Manager,2,7,MNC,58,1478569
1315,53,Female,Bachelor,22,Manager,10,0,Startup,57,1456778
1316,29,Male,Bachelor,18,Data Analyst,10,0,Medium Scale,36,1270085
1317,59,Female,Bachelor,24,Developer,1,5,MNC,55,1568023
1318,49,Male,Master,11,HR,4,4,Startup,60,971163
1319,46,Male,Bachelor,1,HR,7,8,MNC,54,602592
1320,55,Male,Bachelor,2,Developer,6,6,MNC,50,627333
1321,45,Male,Master,17,Data Analyst,10,1,Medium Scale,37,1291039
1322,44,Male,Bachelor,28,HR,1,6,MNC,51,1688198
1323,33,Male,Bachelor,0,Manager,1,2,Medium Scale,39,372354
1324,27,Female,Bachelor,19,Developer,8,0,MNC,60,1314824
1325,56,Male,Bachelor,20,Designer,4,10,MNC,42,1438420
1326,40,Female,Bachelor,28,Data Analyst,5,7,MNC,46,1739436
1327,21,Male,Master,5,Developer,7,2,MNC,59,805857
1328,28,Male,Bachelor,4,HR,8,10,MNC,57,732057
1329,36,Female,Bachelor,0,Data Analyst,10,7,MNC,46,537310
1330,34,Male,Master,18,Manager,7,6,Medium Scale,35,1407355
1331,32,Female,Master,0,Data Analyst,2,1,Medium Scale,35,500993
1332,43,Female,Bachelor,26,Data Analyst,4,0,Startup,49,1564013
1333,35,Male,Bachelor,20,Manager,10,6,MNC,51,1488022
1334,48,Female,Bachelor,20,Manager,1,0,Medium Scale,36,1230906
1335,54,Female,Bachelor,15,Data Analyst,10,5,MNC,51,1204868
1336,22,Male,Bachelor,11,Manager,9,10,MNC,54,1061546
1337,52,Female,Bachelor,26,Developer,3,9,Medium Scale,60,1660855
1338,43,Male,PhD,28,Manager,3,10,MNC,43,1919149
1339,42,Male,Bachelor,21,Manager,10,9,Medium Scale,46,1514381
1340,45,Male,Master,7,Data Analyst,9,7,Medium Scale,38,892684
1341,42,Male,Bachelor,25,Developer,10,6,Startup,47,1602858
1342,42,Female,Master,15,Designer,3,3,Startup,38,1140330
1343,26,Male,Master,27,Designer,8,0,Startup,41,1730204
1344,35,Male,Master,0,HR,2,0,Startup,48,409293
1345,57,Female,Bachelor,3,Manager,3,3,MNC,43,611869
1346,53,Male,Bachelor,9,Manager,2,4,MNC,57,825629
1347,28,Male,Bachelor,10,Developer,1,6,Startup,35,795704
1348,25,Female,Master,16,Designer,2,3,Medium Scale,35,1159776
1349,59,Female,Bachelor,24,HR,8,9,Medium Scale,54,1615255
1350,24,Female,Bachelor,26,Developer,9,0,Medium Scale,38,1636281
1351,26,Female,Bachelor,22,Manager,2,10,Medium Scale,35,1435236
1352,52,Female,Bachelor,6,Designer,7,9,MNC,56,852780
1353,50,Female,Bachelor,11,HR,5,6,Medium Scale,44,914333
1354,55,Female,Bachelor,20,Data Analyst,3,1,Medium Scale,36,1323205
1355,36,Male,PhD,6,Designer,9,10,Startup,55,938946
1356,33,Female,Master,11,HR,6,1,Medium Scale,58,1020333
1357,50,Female,PhD,14,Developer,1,7,MNC,49,1235277
1358,39,Female,Bachelor,1,Data Analyst,5,9,Medium Scale,37,537606
1359,37,Male,Master,13,HR,7,9,Medium Scale,59,1132933
1360,39,Male,Master,12,HR,4,9,MNC,57,1133514
1361,48,Female,Master,3,Manager,8,4,Startup,43,685958
1362,46,Female,Master,13,Designer,10,9,MNC,51,1223827
1363,57,Female,Bachelor,13,Manager,5,1,Startup,55,963844
1364,46,Male,Master,15,Data Analyst,9,4,Medium Scale,47,1205792
1365,43,Male,Bachelor,6,HR,9,7,Startup,37,753695
1366,29,Female,Bachelor,18,Manager,9,5,Startup,38,1280510
1367,32,Male,Bachelor,1,Designer,1,2,Startup,38,392137
1368,21,Female,PhD,9,Data Analyst,2,7,Medium Scale,45,1018410
1369,21,Male,Master,17,Developer,3,8,Startup,41,1264632
1370,54,Male,PhD,28,Manager,4,4,Startup,60,1806790
1371,52,Female,Master,16,Data Analyst,10,1,Medium Scale,45,1268885
1372,45,Female,Bachelor,4,Developer,9,1,MNC,58,721214
1373,21,Female,Bachelor,11,Manager,10,6,MNC,45,1099544
1374,36,Female,Bachelor,5,Data Analyst,6,0,MNC,44,701870
1375,59,Male,Bachelor,21,Data Analyst,1,9,Medium Scale,39,1387110
1376,25,Male,Bachelor,8,Manager,9,1,Medium Scale,47,791171
1377,42,Male,Bachelor,19,Data Analyst,6,9,MNC,46,1368589
1378,49,Female,Bachelor,0,HR,4,3,Startup,44,370077
1379,23,Male,PhD,21,Manager,4,0,MNC,41,1567874
1380,32,Female,Bachelor,14,Data Analyst,3,3,Medium Scale,53,1072246
1381,46,Male,Master,20,Developer,7,10,Startup,53,1462227
1382,36,Female,Master,25,Developer,3,9,Startup,53,1607937
1383,57,Female,Bachelor,5,HR,2,4,Medium Scale,46,600754
1384,42,Male,Bachelor,18,Manager,10,8,Startup,54,1299688
1385,49,Female,Bachelor,17,Data Analyst,8,0,MNC,56,1228048
1386,34,Female,Bachelor,5,Data Analyst,4,4,Medium Scale,49,637568
1387,48,Male,Master,12,Developer,8,1,Medium Scale,39,1109019
1388,25,Female,Bachelor,0,HR,1,8,Medium Scale,58,403545
1389,50,Female,Bachelor,22,Developer,5,5,Medium Scale,48,1445217
1390,25,Female,Bachelor,22,Developer,9,1,Startup,46,1434122
1391,32,Male,PhD,25,HR,1,2,Medium Scale,55,1646746
1392,36,Male,Master,12,Manager,4,7,Medium Scale,45,1042709
1393,46,Female,Master,6,Data Analyst,6,0,Startup,39,727358
1394,46,Male,Bachelor,14,Manager,10,2,Medium Scale,50,1087023
1395,41,Female,Master,11,Designer,8,9,Startup,60,1051756
1396,59,Female,Master,26,Designer,3,0,Startup,52,1629175
1397,56,Female,Master,25,Designer,5,10,Medium Scale,46,1709281
1398,53,Female,PhD,0,HR,7,10,MNC,39,723289
1399,50,Female,Bachelor,14,Developer,1,7,Medium Scale,50,1066097
1400,57,Male,PhD,3,Manager,7,0,MNC,46,805681
1401,43,Female,PhD,12,Data Analyst,8,4,Startup,57,1145259
1402,30,Male,Bachelor,22,Designer,8,3,MNC,36,1488839
1403,25,Male,Bachelor,26,Manager,9,6,Medium Scale,40,1663410
1404,56,Female,PhD,24,Designer,6,4,Medium Scale,57,1655447
1405,54,Female,Bachelor,4,Designer,6,7,MNC,55,743665
